SaleID,ProductID,CustomerID,StoreID,Date,Quantity,UnitPrice
59,49,21,2,2023-09-30,4,755.67
60,45,308,5,2024-01-31,3,693.49
61,30,163,1,2023-07-26,4,913.92
62,16,490,1,2024-08-27,3,270.92
63,40,97,1,2024-09-12,1,128.12
64,19,307,1,2023-11-02,4,475.35
65,18,339,3,2024-09-17,2,367.47
66,1,55,5,2024-06-19,4,975.11
67,78,471,4,2024-04-06,3,17.43
68,47,333,2,2023-09-09,3,934.05
69,66,127,1,2023-09-24,4,955.53
70,38,428,4,2023-07-28,2,60.45
71,51,193,3,2024-07-20,1,890.67
72,63,243,4,2024-06-22,2,476.07
73,4,349,1,2024-05-17,4,768.49
74,1,88,5,2024-05-28,3,88.46
75,8,336,4,2024-08-02,2,955.65
76,29,409,1,2023-05-28,3,611.47
77,55,215,1,2024-10-03,3,899.71
78,3,92,2,2023-03-24,2,676.23
79,32,303,2,2023-02-11,4,541.44
80,10,464,5,2023-06-05,2,180.77
81,74,235,2,2024-10-30,1,186.17
82,83,184,5,2024-03-28,3,477.84
83,34,38,3,2024-09-10,3,871.74
84,87,139,3,2023-10-11,4,124.07
85,55,195,2,2023-07-07,3,998.4
86,32,15,3,2024-09-08,3,877.15
87,50,257,4,2024-09-15,3,398.63
88,7,135,4,2024-04-18,2,260.59
89,8,1,4,2024-05-21,3,922.78
90,65,49,3,2023-05-13,2,131.98
91,57,96,4,2023-09-28,4,353.82
92,67,201,5,2024-09-13,1,93.07
93,88,413,1,2023-03-14,3,953.93
94,87,26,2,2024-03-11,1,621.45
95,59,343,5,2023-10-20,2,342.82
96,72,429,4,2024-10-16,4,282.73
97,54,235,1,2024-03-12,4,449.65
98,67,349,2,2024-10-28,2,100.46
99,51,244,5,2024-10-22,1,890.46
100,8,358,2,2023-03-01,3,515.83
101,34,481,3,2024-08-20,2,727.85
102,35,327,4,2024-12-04,2,241.41
103,88,396,5,2023-11-23,2,508.71
104,78,351,5,2023-07-01,2,218.98
105,32,416,1,2024-03-09,2,817.93
106,46,374,1,2024-06-02,4,777.52
107,16,404,1,2024-09-29,2,156.72
108,68,375,2,2023-03-24,4,83.76
109,37,51,4,2023-01-28,1,825.95
110,54,81,2,2023-09-23,3,118.55
111,85,36,4,2023-10-10,4,553.0
112,14,67,5,2024-02-01,3,539.14
113,55,129,2,2024-11-30,3,210.91
114,48,370,2,2024-01-18,3,595.44
115,82,155,2,2024-08-03,4,507.73
116,7,245,3,2023-11-15,4,514.1
117,74,111,4,2024-09-02,4,366.1
118,7,168,4,2023-07-12,1,840.04
119,33,481,2,2023-08-15,4,93.53
120,23,468,3,2024-03-26,1,444.24
121,85,142,2,2023-07-01,4,267.22
122,19,356,4,2023-11-23,4,849.95
123,19,197,5,2024-08-27,3,232.83
124,36,471,3,2024-10-16,2,769.35
125,29,109,3,2023-07-22,3,615.4
126,60,376,2,2024-02-06,4,876.04
127,82,79,5,2024-10-05,2,597.86
128,2,390,4,2024-04-16,2,560.92
129,1,161,1,2024-10-07,1,803.12
130,47,439,4,2023-06-28,2,566.86
131,69,19,4,2024-11-28,1,846.1
132,20,127,5,2023-01-18,3,58.82
133,11,205,3,2024-04-07,1,500.2
134,2,29,4,2024-08-31,4,814.56
135,67,445,3,2024-06-29,2,849.88
136,87,454,5,2024-02-07,4,835.71
137,12,207,5,2024-01-28,2,608.34
138,20,464,2,2023-10-27,2,994.03
139,5,280,1,2023-12-17,3,189.57
140,37,151,5,2023-07-06,1,182.71
141,38,240,5,2023-12-13,3,42.49
142,9,266,3,2024-09-14,1,989.44
143,53,182,5,2024-02-13,3,354.54
144,44,105,4,2023-03-12,3,764.43
145,86,425,2,2023-11-23,2,69.11
146,24,433,2,2023-07-31,3,305.7
147,81,401,4,2023-11-05,3,627.61
148,74,497,5,2023-04-18,1,529.53
149,30,440,1,2023-06-26,3,215.67
150,59,236,5,2024-03-02,2,466.98
151,87,173,2,2024-06-14,3,117.69
152,81,158,1,2024-02-22,4,547.28
153,81,172,3,2023-09-05,4,105.97
154,14,494,3,2023-07-28,1,639.58
155,9,458,5,2023-08-04,1,163.8
156,40,311,5,2024-12-13,4,551.62
157,66,403,1,2024-03-13,3,137.83
158,25,157,1,2024-09-09,3,406.7
159,73,258,5,2023-11-07,1,358.31
160,22,164,2,2024-01-18,2,758.85
161,4,147,3,2023-09-28,3,644.75
162,26,391,1,2023-05-01,4,937.72
163,58,154,2,2024-02-11,2,922.69
164,29,463,5,2023-09-02,2,727.75
165,87,367,4,2023-03-07,3,772.88
166,37,38,1,2023-08-16,2,628.66
167,75,131,4,2023-05-17,1,694.75
168,70,358,2,2023-07-13,2,621.05
169,18,255,3,2024-12-06,1,318.65
170,85,208,2,2024-10-19,3,357.18
171,42,450,3,2024-10-18,2,578.99
172,41,95,2,2024-05-03,4,722.98
173,38,348,1,2024-08-06,4,412.06
174,34,327,1,2023-12-20,1,151.24
175,17,478,4,2024-12-04,1,464.82
176,37,171,2,2024-07-09,3,963.56
177,25,250,2,2023-06-06,2,221.95
178,76,190,4,2024-04-20,1,652.58
179,87,199,5,2023-01-16,1,982.72
180,86,484,2,2023-03-19,3,382.48
181,85,221,2,2023-02-21,2,889.0
182,27,24,2,2024-05-28,2,865.37
183,57,244,5,2024-05-18,1,345.65
184,31,423,1,2023-03-02,2,107.53
185,6,324,4,2023-05-12,2,186.75
186,40,128,5,2024-01-17,2,372.09
187,12,93,3,2024-07-17,4,959.54
188,53,300,3,2024-11-22,2,281.71
189,71,133,5,2024-06-26,4,927.6
190,10,55,5,2024-02-14,2,189.55
191,45,477,1,2023-06-04,2,970.11
192,17,158,3,2024-09-24,2,300.67
193,26,29,4,2023-02-20,1,636.76
194,85,410,2,2023-04-05,1,78.99
195,62,211,2,2024-11-18,4,306.67
196,46,154,1,2024-06-06,2,218.6
197,64,293,1,2024-06-07,4,13.38
198,2,475,3,2023-12-21,2,165.2
199,54,222,4,2023-02-14,3,597.17
200,65,115,4,2023-07-24,4,396.02
201,51,437,5,2024-12-31,1,725.35
202,53,158,1,2024-03-06,3,674.36
203,36,259,2,2023-09-13,1,801.31
204,26,251,2,2023-09-05,3,868.35
205,29,122,3,2024-06-16,3,821.63
206,21,299,2,2023-02-10,3,453.58
207,11,263,4,2024-04-03,4,315.64
208,40,381,4,2023-10-04,4,507.28
209,11,49,1,2023-07-14,1,539.78
210,36,377,3,2023-03-12,4,320.04
211,59,329,2,2023-09-27,1,544.61
212,39,297,1,2023-12-01,2,114.72
213,54,362,5,2024-08-07,1,238.73
214,55,77,5,2023-11-04,1,748.59
215,24,463,2,2024-03-02,4,191.0
216,22,438,2,2023-07-18,1,147.65
217,69,127,2,2023-03-17,4,294.47
218,56,197,4,2024-10-19,1,377.34
219,33,221,2,2024-06-08,2,335.26
220,36,483,5,2024-10-02,4,380.86
221,20,91,2,2023-08-18,4,148.51
222,83,411,3,2023-03-26,2,173.74
223,81,8,5,2023-06-11,4,243.48
224,62,32,3,2024-02-01,1,407.97
225,73,468,5,2024-01-06,3,342.54
226,26,320,1,2024-07-16,4,793.42
227,66,394,5,2023-08-03,3,530.26
228,73,269,5,2023-01-01,1,579.94
229,73,191,3,2024-01-12,2,564.99
230,40,349,3,2024-02-16,4,404.79
231,17,163,5,2024-09-26,3,980.68
232,1,61,5,2023-07-19,2,46.96
233,89,438,4,2023-07-02,2,223.68
234,61,264,1,2024-02-14,4,291.81
235,43,285,1,2024-02-02,3,882.49
236,42,95,2,2023-08-04,4,919.68
237,25,41,5,2023-12-15,1,847.64
238,39,414,5,2024-08-02,2,422.78
239,35,470,5,2024-08-16,3,915.48
240,3,149,5,2024-10-15,4,107.52
241,44,204,1,2023-02-10,2,655.91
242,51,267,3,2023-01-03,4,937.85
243,12,2,4,2023-04-04,3,757.35
244,19,178,3,2023-02-28,1,285.09
245,44,425,3,2024-02-11,1,720.33
246,59,194,1,2023-01-18,1,301.82
247,49,482,4,2024-05-08,4,120.47
248,61,387,5,2024-05-22,2,720.05
249,17,336,1,2024-08-08,1,187.43
250,74,435,1,2023-11-28,1,119.95
251,57,196,4,2023-06-18,1,556.24
252,55,343,2,2024-11-02,1,624.42
253,47,249,1,2024-11-11,3,60.55
254,12,498,3,2023-07-25,3,14.42
255,62,212,3,2024-06-04,2,883.25
256,80,153,5,2024-05-19,3,124.1
257,88,158,1,2023-12-12,3,588.06
258,83,466,5,2023-10-31,3,954.01
259,8,362,1,2023-04-25,4,516.79
260,21,139,4,2024-10-25,3,148.4
261,81,221,1,2023-03-28,4,399.55
262,87,273,2,2023-04-05,4,627.8
263,80,154,3,2024-03-03,3,765.21
264,70,249,4,2024-11-28,4,610.87
265,72,279,3,2024-03-25,1,43.97
266,25,440,5,2024-09-17,2,151.67
267,82,436,4,2024-06-24,3,378.08
268,89,304,2,2024-12-15,3,708.66
269,12,276,3,2023-01-02,2,588.48
270,15,493,1,2023-03-19,3,54.25
271,59,2,1,2023-11-20,3,798.92
272,26,88,1,2023-04-08,2,609.07
273,26,287,4,2024-09-20,4,888.28
274,47,411,2,2023-04-20,1,423.48
275,32,130,2,2024-11-09,4,495.3
276,10,78,2,2024-04-01,1,411.5
277,16,260,3,2024-05-02,2,725.23
278,71,241,4,2024-01-06,4,754.61
279,17,141,1,2023-12-03,4,726.01
280,23,228,3,2024-08-21,1,298.68
281,26,163,2,2023-01-22,1,639.67
282,85,236,1,2024-12-22,1,345.14
283,86,128,4,2023-11-01,1,835.86
284,7,200,5,2023-09-29,3,64.57
285,14,450,2,2024-05-04,2,47.34
286,79,390,2,2024-03-21,1,110.69
287,7,31,2,2023-10-05,4,210.34
288,9,138,2,2024-10-12,4,47.26
289,48,492,1,2024-01-12,4,80.9
290,72,21,4,2023-08-20,1,313.0
291,59,234,3,2024-08-14,2,108.79
292,87,202,1,2024-03-01,3,804.05
293,82,279,4,2023-02-24,1,63.33
294,39,131,3,2024-03-16,1,908.85
295,18,416,2,2023-02-03,3,872.13
296,59,148,4,2023-11-25,2,216.3
297,17,458,2,2024-03-29,1,80.81
298,14,29,4,2024-01-23,4,114.48
299,31,361,5,2024-03-05,4,563.5
300,24,308,2,2024-04-20,1,604.91
301,60,371,2,2023-05-05,2,322.43
302,45,430,2,2024-06-06,4,303.87
303,3,162,1,2024-04-26,4,536.19
304,37,357,3,2023-11-13,3,312.57
305,43,340,2,2023-05-02,2,934.98
306,40,61,2,2024-06-30,1,388.81
307,90,125,1,2024-08-03,3,227.62
308,55,456,1,2023-11-09,3,154.51
309,87,71,5,2024-05-01,3,635.39
310,39,326,4,2024-10-12,2,333.39
311,15,395,2,2023-01-12,2,196.91
312,4,364,4,2023-05-05,2,283.06
313,86,466,1,2024-10-20,1,314.8
314,25,243,1,2023-03-18,2,629.58
315,13,490,5,2024-08-02,3,182.93
316,82,249,3,2024-12-18,4,735.48
317,33,221,1,2023-08-24,1,311.83
318,16,473,2,2024-07-24,1,493.43
319,42,447,5,2023-09-11,1,658.29
320,66,21,3,2024-02-10,3,548.18
321,55,494,5,2023-08-31,2,665.61
322,42,387,1,2024-04-05,3,329.37
323,34,82,3,2023-10-04,4,963.82
324,30,344,4,2024-04-13,2,464.4
325,13,367,3,2023-08-08,4,328.71
326,13,486,2,2023-08-13,1,303.43
327,18,10,4,2023-04-11,1,52.27
328,32,411,4,2024-09-25,3,687.96
329,39,12,2,2024-12-30,2,269.89
330,46,263,4,2024-05-21,1,959.34
331,29,145,1,2024-08-09,3,218.34
332,62,449,3,2023-11-27,4,534.2
333,62,192,3,2023-08-25,3,738.12
334,57,250,2,2023-12-05,2,871.41
335,16,114,1,2024-05-20,2,164.9
336,56,26,4,2023-06-14,2,985.55
337,10,271,3,2024-10-30,1,907.68
338,30,499,3,2024-12-23,3,963.22
339,25,33,3,2024-12-28,4,854.14
340,84,62,3,2023-08-06,2,878.89
341,5,229,5,2024-01-11,3,602.84
342,65,303,2,2023-01-12,1,846.86
343,49,95,4,2024-03-07,4,538.67
344,3,35,4,2023-03-24,4,542.83
345,45,193,2,2024-03-06,4,566.95
346,14,456,1,2024-09-16,1,996.35
347,30,76,2,2024-04-22,2,113.35
348,68,379,3,2024-12-07,1,807.55
349,18,249,3,2024-01-04,4,280.58
350,62,83,2,2024-10-14,3,367.61
351,37,25,2,2024-09-27,4,89.73
352,25,57,4,2023-05-21,3,358.06
353,48,32,4,2024-12-20,1,990.86
354,65,319,5,2024-09-18,1,403.1
355,53,12,5,2024-12-18,1,672.99
356,79,319,3,2024-03-31,3,129.51
357,73,333,5,2024-05-16,1,923.27
358,15,92,5,2024-02-07,2,829.47
359,49,1,1,2023-10-15,4,392.43
360,88,435,2,2023-12-21,2,354.98
361,68,326,4,2023-12-09,3,437.94
362,12,136,5,2023-05-29,1,407.25
363,59,196,4,2023-07-29,4,265.47
364,37,133,5,2023-04-22,1,990.94
365,61,473,5,2024-10-15,1,812.44
366,43,86,3,2024-06-19,4,275.24
367,70,476,1,2023-02-18,4,981.91
368,39,295,2,2023-11-27,2,25.37
369,56,279,2,2023-12-31,2,443.52
370,63,324,3,2023-01-11,2,573.79
371,46,180,3,2023-07-07,2,47.21
372,88,4,2,2024-05-23,2,169.43
373,11,126,2,2024-08-02,3,265.55
374,62,175,1,2024-03-20,3,723.02
375,77,251,5,2023-03-31,1,940.35
376,25,21,1,2024-09-13,1,628.29
377,71,485,2,2024-11-06,2,567.03
378,52,440,5,2024-03-23,1,541.39
379,4,105,2,2024-12-18,3,357.2
380,59,66,1,2023-02-01,3,829.44
381,72,443,1,2023-11-23,1,545.36
382,20,263,1,2023-03-15,2,237.8
383,63,49,5,2023-09-08,3,145.46
384,54,16,4,2024-03-25,4,985.66
385,74,145,4,2023-12-21,4,27.3
386,57,340,2,2024-06-16,1,934.11
387,90,250,5,2023-10-23,2,226.12
388,41,343,3,2023-10-25,1,660.97
389,3,354,4,2023-11-24,2,308.52
390,6,75,5,2023-10-29,2,861.21
391,5,290,5,2024-05-26,4,548.01
392,5,417,4,2023-12-04,3,149.65
393,54,282,5,2024-08-07,3,277.14
394,47,66,5,2024-01-09,1,327.12
395,87,125,4,2024-07-06,1,887.06
396,49,319,1,2023-04-04,2,769.07
397,9,87,2,2023-05-12,3,831.29
398,20,41,3,2024-09-02,2,61.73
399,61,470,2,2023-02-22,4,582.99
400,35,186,1,2024-05-10,4,999.19
401,50,354,1,2023-08-17,2,787.35
402,82,380,5,2024-10-01,2,129.5
403,62,335,2,2023-07-31,2,682.03
404,17,266,1,2024-05-18,2,747.87
405,88,271,2,2024-05-09,2,519.11
406,3,42,1,2024-11-01,4,87.97
407,32,93,3,2023-08-21,4,44.34
408,13,185,1,2023-03-12,4,938.43
409,89,215,2,2024-12-17,1,264.94
410,73,17,5,2023-07-08,4,385.18
411,68,444,2,2024-10-24,3,797.32
412,14,265,4,2023-01-08,3,692.37
413,11,114,2,2023-11-28,2,968.88
414,56,292,3,2024-09-03,4,101.91
415,67,457,3,2023-01-16,2,709.85
416,29,464,3,2024-10-27,2,91.41
417,9,292,1,2024-10-30,3,10.16
418,67,48,3,2023-04-03,3,129.03
419,25,307,2,2023-09-19,2,620.56
420,76,97,5,2024-07-02,3,679.43
421,42,375,3,2023-06-10,2,443.96
422,9,95,2,2023-12-17,2,55.61
423,79,326,1,2023-06-23,2,637.72
424,40,74,1,2023-11-13,1,94.96
425,25,336,5,2023-01-18,3,150.31
426,5,68,5,2024-04-30,3,517.45
427,11,246,2,2024-01-02,4,346.97
428,59,406,5,2023-12-17,3,470.11
429,88,77,5,2024-06-11,4,638.73
430,79,208,1,2024-03-10,2,168.41
431,38,372,2,2023-09-27,1,894.16
432,72,254,5,2023-03-09,2,563.89
433,5,221,2,2023-01-30,2,31.87
434,48,262,3,2023-11-12,2,632.17
435,90,410,1,2023-06-13,4,468.55
436,18,331,1,2023-11-16,1,704.62
437,70,344,1,2023-01-14,2,786.19
438,37,477,4,2023-10-06,4,939.46
439,60,259,2,2024-03-07,2,998.36
440,48,308,3,2024-10-29,1,554.12
441,77,74,5,2024-09-25,2,565.89
442,28,125,3,2023-09-20,2,32.22
443,69,188,2,2024-11-12,3,866.52
444,77,254,1,2024-06-05,4,38.43
445,81,447,4,2023-06-21,1,636.34
446,40,321,2,2023-12-24,4,107.59
447,45,308,2,2023-01-13,3,292.98
448,62,235,5,2024-12-25,2,148.93
449,58,474,3,2024-11-03,1,146.02
450,67,250,3,2023-08-20,1,83.85
451,56,332,5,2024-04-20,4,324.7
452,40,398,4,2024-04-15,2,429.41
453,40,345,1,2023-06-09,3,469.83
454,77,72,1,2024-09-30,2,445.31
455,33,235,4,2024-07-13,4,528.46
456,6,324,5,2023-09-18,1,861.19
457,88,156,2,2024-07-26,1,635.48
458,19,455,3,2024-09-25,2,27.11
459,80,394,2,2024-08-24,2,181.22
460,40,115,3,2023-12-25,2,355.46
461,59,313,2,2023-09-12,2,949.55
462,59,228,5,2024-08-24,3,87.3
463,48,322,5,2024-05-29,3,713.02
464,41,346,4,2023-10-07,3,42.76
465,13,245,2,2023-04-27,3,368.91
466,45,306,2,2024-09-01,4,772.45
467,89,14,4,2023-06-11,1,350.49
468,53,16,4,2023-10-25,1,435.98
469,42,438,5,2023-10-24,4,906.25
470,63,427,5,2024-08-16,4,75.51
471,27,42,2,2023-12-24,3,532.39
472,38,465,5,2024-10-21,2,372.58
473,60,110,5,2024-06-01,1,964.17
474,7,278,2,2024-01-13,4,795.75
475,5,324,4,2024-11-27,2,130.86
476,45,19,2,2024-03-01,3,928.14
477,58,66,1,2024-06-20,4,219.1
478,31,167,2,2024-07-06,1,93.97
479,23,73,1,2023-06-18,1,546.18
480,42,403,2,2024-05-29,1,739.27
481,10,400,1,2023-12-30,4,718.89
482,32,310,1,2024-11-13,1,538.72
483,53,409,2,2024-03-05,3,497.81
484,30,112,5,2024-07-22,1,969.85
485,39,274,3,2023-03-24,3,822.35
486,31,407,5,2023-11-26,1,701.65
487,82,373,1,2024-11-21,3,203.26
488,2,85,2,2023-05-13,4,821.57
489,78,139,2,2024-08-20,3,752.28
490,77,39,2,2024-04-01,4,992.11
491,12,105,2,2023-12-19,2,141.67
492,39,324,3,2023-12-10,3,718.14
493,66,281,4,2023-04-04,4,979.29
494,13,447,1,2024-01-17,2,467.97
495,46,480,3,2023-10-22,1,736.08
496,27,414,5,2023-07-17,2,975.62
497,17,429,4,2023-03-20,3,552.01
498,60,123,4,2024-11-08,2,702.05
499,64,218,2,2024-07-04,1,29.88
500,88,377,3,2023-08-02,2,524.47
501,35,61,5,2024-10-04,3,263.24
502,70,100,2,2024-10-30,3,139.93
503,83,307,2,2023-06-08,4,711.51
504,30,354,1,2024-07-10,1,48.7
505,71,393,4,2023-07-20,1,905.82
506,74,204,5,2023-01-22,2,522.6
507,63,258,4,2023-12-05,1,651.75
508,28,486,3,2023-08-30,3,260.9
509,60,5,1,2023-08-26,2,190.37
510,79,446,2,2023-05-29,4,251.32
511,37,197,1,2024-08-01,2,239.97
512,22,180,2,2023-01-07,2,865.86
513,68,342,1,2023-08-21,4,789.47
514,20,133,2,2024-08-01,2,854.21
515,68,443,4,2023-03-18,1,737.52
516,64,324,4,2024-05-03,2,647.11
517,17,253,4,2023-03-28,2,532.6
518,12,265,4,2023-08-10,2,272.83
519,22,93,1,2024-02-17,3,708.31
520,17,150,2,2024-08-06,3,145.22
521,10,411,4,2023-07-21,1,515.95
522,65,138,1,2024-07-24,4,203.32
523,22,208,2,2023-10-03,3,509.71
524,90,490,1,2023-08-09,3,300.97
525,82,125,4,2023-06-06,1,62.94
526,50,234,3,2023-06-30,1,508.67
527,14,61,1,2024-12-25,4,190.01
528,64,307,4,2023-05-09,2,169.54
529,47,266,5,2023-08-31,2,390.52
530,29,134,2,2023-06-21,4,368.17
531,76,318,4,2024-05-17,4,868.29
532,36,113,5,2024-04-24,4,568.99
533,52,389,1,2023-09-27,1,856.02
534,76,378,1,2024-02-25,2,155.37
535,7,454,5,2023-06-12,4,363.74
536,29,191,5,2023-01-24,4,559.78
537,11,379,2,2024-05-11,2,161.6
538,33,440,1,2023-07-12,2,136.78
539,6,187,5,2024-01-25,1,664.79
540,79,319,3,2024-05-11,3,657.3
541,32,367,3,2023-05-09,3,241.82
542,51,89,5,2024-07-06,1,234.85
543,75,187,2,2024-06-26,1,747.99
544,58,307,1,2023-02-05,2,125.82
545,87,434,3,2024-04-01,1,924.03
546,26,132,5,2023-12-27,1,944.3
547,46,360,5,2023-08-03,4,872.28
548,29,123,4,2023-10-14,1,218.57
549,4,48,5,2024-01-04,1,26.63
550,81,288,2,2024-04-13,4,937.32
551,13,376,3,2023-07-05,2,350.53
552,39,179,4,2024-04-18,2,317.31
553,15,180,3,2023-03-02,1,269.06
554,29,99,3,2023-09-19,1,252.09
555,29,330,2,2023-04-21,3,737.21
556,75,34,5,2023-05-21,4,908.81
557,32,420,2,2024-06-18,3,788.2
558,2,70,5,2023-03-20,1,677.37
559,47,171,4,2024-05-08,3,294.88
560,78,366,2,2023-01-31,3,551.49
561,84,272,2,2024-05-30,2,244.6
562,22,59,1,2024-05-23,4,120.39
563,75,181,2,2024-09-21,2,129.09
564,27,19,1,2023-03-07,2,607.73
565,67,226,5,2024-05-24,3,48.09
566,81,473,5,2024-01-06,4,973.52
567,56,95,5,2023-10-14,1,995.51
568,21,369,1,2023-06-25,4,157.93
569,47,297,5,2023-05-03,2,433.03
570,80,81,3,2023-08-19,3,770.4
571,59,175,2,2024-07-08,1,955.52
572,84,222,1,2023-01-04,2,892.41
573,6,103,5,2024-12-02,3,262.21
574,19,54,3,2024-02-16,2,94.34
575,57,183,2,2023-09-07,3,295.84
576,69,351,2,2024-10-17,4,442.87
577,3,403,5,2024-05-01,2,366.34
578,1,318,3,2023-12-11,4,776.13
579,58,355,1,2023-11-29,4,265.21
580,38,349,5,2024-03-28,3,860.05
581,15,443,2,2023-06-07,1,233.38
582,34,321,2,2024-07-30,4,367.74
583,61,68,2,2023-09-27,2,453.33
584,35,28,5,2024-08-09,2,298.31
585,64,274,4,2024-02-22,3,768.71
586,25,282,4,2024-03-15,4,415.45
587,24,360,4,2023-01-29,1,888.16
588,12,403,3,2023-12-01,1,963.95
589,18,311,5,2023-08-26,2,861.21
590,15,119,2,2023-06-02,3,527.4
591,80,380,3,2024-08-28,4,514.71
592,27,441,4,2023-04-25,2,223.71
593,72,134,1,2024-12-31,3,596.35
594,60,129,3,2024-02-03,1,953.2
595,46,8,3,2023-02-01,2,89.8
596,89,481,5,2024-06-15,3,754.93
597,17,51,3,2023-02-22,1,870.84
598,53,491,5,2024-12-18,3,986.84
599,8,341,1,2024-12-31,2,341.41
600,79,472,2,2023-07-14,4,362.02
601,27,281,2,2023-11-01,3,237.48
602,46,175,4,2024-12-07,4,791.17
603,50,183,4,2023-12-11,2,148.64
604,71,192,1,2023-03-23,1,275.09
605,3,249,2,2023-01-01,3,302.31
606,64,235,4,2023-06-16,1,381.18
607,44,83,3,2023-11-13,4,427.45
608,53,93,5,2023-07-02,4,563.43
609,24,373,4,2023-09-30,1,948.89
610,60,394,1,2024-10-30,2,254.81
611,3,312,2,2024-01-08,4,781.43
612,20,268,1,2023-12-28,2,679.63
613,46,417,5,2023-07-20,1,124.89
614,15,120,5,2023-07-11,2,812.27
615,25,71,1,2023-12-07,4,99.71
616,78,17,4,2023-10-26,1,741.54
617,71,253,4,2024-05-20,2,718.63
618,17,445,2,2024-08-10,2,692.51
619,84,122,2,2023-05-20,3,283.93
620,9,380,3,2023-11-02,4,577.63
621,38,10,3,2023-07-15,3,763.96
622,48,287,2,2023-03-02,2,641.22
623,60,316,3,2023-12-26,4,806.26
624,63,326,1,2023-11-03,1,691.0
625,86,273,4,2024-04-24,1,281.71
626,2,306,3,2023-11-29,1,161.53
627,88,293,3,2023-03-24,2,635.66
628,72,210,1,2023-11-30,2,762.16
629,11,446,5,2024-05-31,1,150.9
630,64,218,2,2024-12-31,3,183.07
631,77,241,1,2024-04-18,3,21.95
632,81,374,5,2024-01-29,4,536.43
633,72,464,1,2024-08-22,4,546.87
634,21,200,4,2024-12-21,1,505.08
635,18,216,1,2024-11-22,2,322.85
636,64,205,1,2024-12-20,2,433.53
637,82,413,4,2024-07-30,4,768.57
638,38,416,2,2024-01-15,1,189.98
639,32,216,5,2023-01-21,4,209.53
640,11,80,3,2023-06-26,3,670.31
641,45,267,2,2023-12-29,1,868.23
642,89,480,1,2023-01-22,1,346.99
643,33,390,3,2024-07-01,1,933.42
644,41,379,4,2023-09-07,3,67.1
645,8,35,2,2024-10-22,1,127.33
646,11,289,5,2023-03-14,4,465.36
647,86,18,2,2023-04-01,3,726.25
648,51,165,2,2023-06-25,2,377.13
649,88,13,3,2023-05-06,4,559.2
650,41,202,4,2023-07-23,4,38.28
651,17,229,4,2023-09-03,4,467.22
652,76,346,2,2024-09-02,3,250.15
653,46,366,4,2023-09-28,4,521.21
654,32,465,3,2023-02-13,3,530.57
655,79,448,3,2024-08-31,1,755.63
656,80,1,5,2024-07-01,2,544.44
657,54,319,4,2023-06-17,1,618.13
658,86,217,5,2024-03-10,4,534.35
659,20,34,1,2023-01-30,3,990.47
660,33,359,3,2024-08-19,3,793.7
661,74,266,2,2023-12-23,1,758.09
662,40,128,3,2024-05-05,4,630.99
663,32,212,1,2024-09-24,2,533.09
